video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=1CqGeAmVu1I&pp=ygULV29ybGQgV2FyIDI%3D,/@stoferr,Christopher,World War II Every Day with Army Sizes,觀看次數：3366萬次,1 年前,"Hi everyone, I'm sorry for the very long wait in uploads, however, hopefully you will understand why, as it has taken me almost a ...",2024-01-16 23:38:17.877938
/watch?v=LC6_NNjZENU&pp=ygULV29ybGQgV2FyIDI%3D,/@WorldatWar1982,World at War,World War II In Colour: Episode 1 - The Gathering Storm (WWII Documentary),觀看次數：210萬次,5 年前,"With the Great Depression sapping the will of Western democracies to intervene, Mussolini and Hitler are able to grab and expand ...",2024-01-16 23:38:17.879568
/watch?v=_uk_6vfqwTA&pp=ygULV29ybGQgV2FyIDI%3D,/@OverSimplified,OverSimplified,WW2 - OverSimplified (Part 1),觀看次數：8850萬次,5 年前,Copyright disclaimer - We do not give anyone permission to translate and/or reupload our videos or designs on YouTube or other ...,2024-01-16 23:38:17.881280
/watch?v=AUXIuYHFgBE&pp=ygULV29ybGQgV2FyIDI%3D,/@GeoHistory,Geo History,World War II (short version),觀看次數：848萬次,5 年前,Watch the extended version here: https://youtu.be/-CQatuQdQv4 This video is a summary of the main stages of the Second World ...,2024-01-16 23:38:17.882930
/watch?v=N4yxPEOGio4&pp=ygULV29ybGQgV2FyIDI%3D,/@GeographyandSpace,Geography and Space,World War II in Europe with Flags: Every Day,觀看次數：1492萬次,2 年前,"This video shows the front lines of the European Theatre of WWII, every day, from the invasion of Poland on 1 September, 1939 to ...",2024-01-16 23:38:17.884634
/watch?v=qqXtXI274HM&pp=ygULV29ybGQgV2FyIDI%3D,/@InsomniaTeam,Insomnia Team,Best World War 2 Documentary Ever!!,觀看次數：533萬次,7 年前,"*All rights are reserved to the owners or licensed.* Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance ...",2024-01-16 23:38:17.885621
/watch?v=sqMmOJ0riCg&pp=ygULV29ybGQgV2FyIDI%3D,/@warsoftheworld1945,WarsofTheWorld,The Second World War: 1939 - 1945 | WWII Documentary: PART 1,觀看次數：185萬次,1 年前,"On the morning of August 9th 1945, air raid sirens began to ring out in the Japanese city of Nagasaki. However, a short while later ...",2024-01-16 23:38:17.887137
/watch?v=gvl2iHal40c&pp=ygULV29ybGQgV2FyIDI%3D,/@DoYouKnowHistory408,Do You Know History,World War 2,觀看次數：27次,2 天前,World War II (1939-1945) was a global conflict that involved the majority of the world's nations. Here's a brief summary: 1.,2024-01-16 23:38:17.888331
/watch?v=dz1rTZE9xgE&pp=ygULV29ybGQgV2FyIDI%3D,/@Netflix,Netflix,World War II: From the Frontlines | Official Trailer | Netflix,觀看次數：157萬次,1 個月前,"Through vividly enhanced archival footage and voices from all sides of the conflict, this docuseries brings WWII to life like never ...",2024-01-16 23:38:17.891870
/watch?v=0UJYYkK4d8s&pp=ygULV29ybGQgV2FyIDI%3D,/@BestDoc,Best Documentary,1944 年 6 月 6 日——黎明之光 | 歷史 - 政治 - 戰爭紀錄片,觀看次數：3328萬次,1 年前,黎明之光講述了霸王行動的故事。它追溯了自 1941 年夏天（丘吉爾和羅斯福首次提出這個問題）到 1944 年 6 月 6 日以來人類所設想的最大規 ...,2024-01-16 23:38:17.892898
/watch?v=Q78COTwT7nE&pp=ygULV29ybGQgV2FyIDI%3D,/@crashcourse,CrashCourse,World War II: Crash Course World History #38,觀看次數：1117萬次,11 年前,"In which John Green teaches you about World War II, aka The Great Patriotic War, aka The Big One. So how did this war happen?",2024-01-16 23:38:17.893963
/watch?v=unN7e---Mbg&pp=ygULV29ybGQgV2FyIDI%3D,/@BestDoc,Best Documentary,二战的隐藏面：纳粹最后的秘密,觀看次數：1097萬次,1 年前,世界上最致命的战争结束 70 年后，所进行的不同行动中的一些灰色地带仍然存在……未知的事实，被遗忘的英雄，令人难以置信的欺骗，令人惊叹 ...,2024-01-16 23:38:17.895007
/watch?v=-CQatuQdQv4&pp=ygULV29ybGQgV2FyIDI%3D,/@GeoHistory,Geo History,World War II - Summary on a Map,觀看次數：698萬次,3 年前,#geohistory #history #wwii #worldwar2 #ussr #usa.,2024-01-16 23:38:17.896645
/watch?v=-zPKKND_Njg&pp=ygULV29ybGQgV2FyIDI%3D,/@stateballs,StateBalls,CountryBalls - History of World War II,觀看次數：107萬次,9 個月前,"CountryBalls - History of World War II Welcome to the State Balls channel! On our channel you will see a bunch of educational, ...",2024-01-16 23:38:17.897693
/watch?v=crH7kpjomIk&pp=ygULV29ybGQgV2FyIDI%3D,/@dhruvrathee,Dhruv Rathee,Why World War 2 Happened? | The Real Reason | Dhruv Rathee,觀看次數：1028萬次,8 個月前,"World War II was a significant event in world history that involved more than 30 countries. The conflict started when Nazi Germany, ...",2024-01-16 23:38:17.898729
/watch?v=yLHPLWDyHio&pp=ygULV29ybGQgV2FyIDI%3D,/@TheLifeGuide,The Life Guide,World War 2 Explained | Best WW2 Documentary | Part 1,觀看次數：729萬次,4 年前,"In the Second World War, every bond between man and man was to perish. Crimes were committed by the Germans under the ...",2024-01-16 23:38:17.900346
/shorts/YhheGGKKVUM,/@countryzombie,CountryZ,Switzerland During World War II #countryballs,觀看次數：226萬次,4 個月前,countryball #shorts #russia.,2024-01-16 23:38:17.901359
